"","Model","reps","A","B","O_p","O_s","mx_model","n_bins","n_bootstrap","t_limit","seed","n_p","n_s","mix_12","theta_p_21","theta_p_12","theta_s1_21","theta_s1_12","psi_1","g_1","g_2","m.theta_p_21","m.theta_p_12","m.theta_s1_21","m.theta_s1_12","m.psi_1","m.g_1","m.g_2","m.mix_12","sd.theta_p_21","sd.theta_p_12","sd.theta_s1_21","sd.theta_s1_12","sd.psi_1","sd.g_1","sd.g_2","sd.mix_12","se.theta_p_21","se.theta_p_12","se.theta_s1_21","se.theta_s1_12","se.psi_1","se.g_1","se.g_2","se.mix_12","cv.theta_p_21","cv.theta_p_12","cv.theta_s1_21","cv.theta_s1_12","cv.psi_1","cv.g_1","cv.g_2","cv.mix_12","me.theta_p_21","me.theta_p_12","me.theta_s1_21","me.theta_s1_12","me.psi_1","me.g_1","me.g_2","me.mix_12","rm.theta_p_21","rm.theta_p_12","rm.theta_s1_21","rm.theta_s1_12","rm.psi_1","rm.g_1","rm.g_2","rm.mix_12","ci.theta_p_21","ci.theta_p_12","ci.theta_s1_21","ci.theta_s1_12","ci.psi_1","ci.g_1","ci.g_2","ci.mix_12","rep.tru"
"1","M",99,2,2,1,3,"constant",0,0,0,1859,1000,500,0,0.07,0.05,0.03,0.02,0.4,1,1,0.0690240575513899,0.0486476177927067,0.0303567369281596,0.0195400942093244,0.401199562277091,NA,NA,NA,0.0176616965822075,0.0113815743974057,0.00748337828342634,0.00495495923698584,0.0160222925741951,NA,NA,NA,0.0174815623819881,0.0121316908008781,0.00729360168898397,0.00480459840859365,0.0172233348930715,NA,NA,NA,0.255877402875918,0.233959542395354,0.246514580968833,0.253579086359849,0.0399359672359992,NA,NA,NA,-0.000975942448610129,-0.00135238220729333,0.000356736928159577,-0.000459905790675643,0.00119956227709117,NA,NA,NA,0.00031289770884193,0.00013138783602721,5.61295103528097e-05,2.47652926758383e-05,0.00025816749214949,NA,NA,NA,0.94949494949495,0.97979797979798,0.95959595959596,0.95959595959596,0.96969696969697,NA,NA,NA,99
"2","M",99,2,2,1,3,"constant",0,0,0,1859,1000,500,0,0.2,0.15,0.1,0.05,0.4,1,1,0.198245233536164,0.148807951568215,0.100498434330192,0.0505289703355602,0.399118089486942,NA,NA,NA,0.0292855736885897,0.0207633680722691,0.0147837359987578,0.00846755135369939,0.0223913316638461,NA,NA,NA,0.0273602697885142,0.0196700569477747,0.0145610978947151,0.00849782516828978,0.0204831582862212,NA,NA,NA,0.147723973818757,0.139531307658321,0.147104142440519,0.167578149672689,0.0561020215661728,NA,NA,NA,-0.00175476646383582,-0.0011920484317848,0.000498434330192268,0.000528970335560243,-0.00088191051305847,NA,NA,NA,0.000860755452075102,0.000432552932958692,0.00021880982193168,7.19820907436014e-05,0.000502157436222715,NA,NA,NA,0.919191919191919,0.94949494949495,0.95959595959596,0.939393939393939,0.94949494949495,NA,NA,NA,99
"3","M",99,2,2,1,3,"constant",0,0,0,1859,1000,500,0,0.15,0.2,0.1,0.05,0.4,1,1,0.150931417765476,0.198489827723061,0.100294430990824,0.0493759613539836,0.40328693495655,NA,NA,NA,0.0229538531730117,0.0214633349595991,0.013364829860743,0.00855503887570151,0.0220605760816741,NA,NA,NA,0.0249915085965546,0.0215339878258485,0.014473775107687,0.00849998704759515,0.020602065362602,NA,NA,NA,0.15208134603677,0.108133173401437,0.133255951788248,0.173263236625798,0.0547019359405998,NA,NA,NA,0.000931417765476422,-0.00151017227693917,0.000294430990823755,-0.000624038646016414,0.00328693495655019,NA,NA,NA,0.000527755766981349,0.000462978639529761,0.000178706251402806,7.35820881131365e-05,0.000497583202764009,NA,NA,NA,0.95959595959596,0.929292929292929,0.98989898989899,0.939393939393939,0.939393939393939,NA,NA,NA,99
"4","M",99,2,2,1,3,"constant",0,0,0,1859,610,305,0,0.07,0.05,0.03,0.02,0.4,1.1,2,0.0704758221878062,0.0522289641829435,0.031086610431287,0.0197505557439004,0.402273343607266,1.1006059710257,1.99044962962335,NA,0.0178226157890662,0.010183817175522,0.00776200672374177,0.00470582950500355,0.0231351961787573,0.0174733533679199,0.0701251819401537,NA,0.0174194557766396,0.01046209341909,0.00744195239386653,0.00489050391575814,0.0223808078208008,0.0180652169682871,0.0673039436236726,NA,0.252889788806889,0.194984092348662,0.249689709365346,0.238263143884287,0.0575111340246891,0.015876120817004,0.0352308246822721,NA,0.000475822187806188,0.00222896418294346,0.00108661043128697,-0.00024944425609965,0.00227334360726617,0.000605971025694929,-0.0095503703766493,NA,0.000317874350592085,0.000108729110341556,6.14415187948082e-05,2.22076886898886e-05,0.000540458129010332,0.000305689025751975,0.005009681426413,NA,0.94949494949495,0.97979797979798,0.95959595959596,0.95959595959596,0.95959595959596,0.95959595959596,0.94949494949495,NA,99
"5","M",99,2,2,1,3,"constant",0,0,0,1859,610,305,0.05,0.07,0.05,0.03,0.02,0.4,1.1,2,0.0719061320418399,0.0486283686196691,0.031049345540311,0.0197619259418987,0.398911373393916,1.09827469210214,2.00806890175129,0.0496630208816529,0.0162961390666819,0.0113606274408477,0.0068253794966368,0.00457031233227304,0.0216526644025748,0.0167335941243652,0.0676082754608465,0.0111608923350151,0.0175410507268333,0.0115491146349169,0.00746428810475511,0.00489739175728051,0.0212587638074705,0.0179093869042635,0.0673845071134749,0.0106100280910589,0.226630728199922,0.233621397618768,0.219823618754717,0.231268568949708,0.0542793859657476,0.0152362557789039,0.0336683046094104,0.224732449554601,0.00190613204183988,-0.00137163138033091,0.00104934554031098,-0.000238074058101272,-0.00108862660608439,-0.00172530789786007,0.00806890175128716,-0.000336979118347111,0.000269234562733004,0.000130964426173287,4.7698167316315e-05,2.09450124314346e-05,0.000470035076555632,0.000283020234022044,0.004636650445195,0.000124680231363739,0.939393939393939,0.94949494949495,0.96969696969697,0.96969696969697,0.95959595959596,0.95959595959596,0.939393939393939,0.919191919191919,99
